term_id	category	alt_variety	bosnian_forms	alt_forms	n_bosnian_sources	n_alt_in_bosnian_sources	heldout_n_bosnian	heldout_n_alt	heldout_share	n_clips_in_run
predsjednika	yat	sr	predsjednika	predsednika	1167	0	1165	0	1.0	0
riječima	yat	sr	riječima	rečima	910	0	910	0	1.0	0
mjere	yat	sr	mjere	mere	787	0	787	0	1.0	0
mjeseci	yat	sr	mjeseci	meseci	784	0	784	0	1.0	0
rješenje	yat	sr	rješenje	rešenje	704	1	704	1	0.9986	0
izvještaj	yat	sr	izvještaj	izveštaj	609	1	608	1	0.9984	0
vrijednosti	yat	sr	vrijednosti	vrednosti	609	0	608	0	1.0	0
mjera	yat	sr	mjera	mera	551	0	551	0	1.0	0
cijena	yat	sr	cijena	cena	541	0	540	0	1.0	0
prijedlog	yat	sr	prijedlog	predlog	490	0	490	0	1.0	0
izvještajima	yat	sr	izvještajima	izveštajima	467	0	467	0	1.0	0
rješenja	yat	sr	rješenja	rešenja	461	0	461	0	1.0	0
posjetu	yat	sr	posjetu	posetu	454	0	454	0	1.0	0
djece	yat	sr	djece	dece	427	0	425	0	1.0	0
promjene	yat	sr	promjene	promene	385	1	385	1	0.9974	0
ovdje	yat	sr	ovdje	ovde	382	0	380	0	1.0	0
rješavanje	yat	sr	rješavanje	rešavanje	349	0	349	0	1.0	0
lijevo	yat	sr	lijevo	levo	346	0	346	0	1.0	0
svjetskog	yat	sr	svjetskog	svetskog	341	0	341	0	1.0	0
vjeruje	yat	sr	vjeruje	veruje	338	0	337	0	1.0	0
umjesto	yat	sr	umjesto	umesto	330	1	328	1	0.997	0
predsjedavajući	yat	sr	predsjedavajući	predsedavajući	329	0	329	0	1.0	0
procjenjuje	yat	sr	procjenjuje	procenjuje	304	0	304	0	1.0	0
naprijed	yat	sr	naprijed	napred	290	3	290	3	0.9898	0
izvještaja	yat	sr	izvještaja	izveštaja	275	0	275	0	1.0	0
posjeta	yat	sr	posjeta	poseta	274	0	273	0	1.0	0
promjena	yat	sr	promjena	promena	272	1	272	1	0.9963	0
dijelu	yat	sr	dijelu	delu	269	1	268	1	0.9963	0
uspjeh	yat	sr	uspjeh	uspeh	260	0	259	0	1.0	0
pobjedu	yat	sr	pobjedu	pobedu	234	0	234	0	1.0	0
pobijedio	yat	sr	pobijedio	pobedio	234	0	234	0	1.0	0
svjetski	yat	sr	svjetski	svetski	230	1	230	1	0.9957	0
obezbijediti	yat	sr	obezbijediti	obezbediti	221	0	221	0	1.0	0
vjerujem	yat	sr	vjerujem	verujem	220	0	220	0	1.0	0
djela	yat	sr	djela	dela	212	2	212	2	0.9907	0
svjetska	yat	sr	svjetska	svetska	212	0	212	0	1.0	0
umjetnosti	yat	sr	umjetnosti	umetnosti	206	0	206	0	1.0	0
mjeri	yat	sr	mjeri	meri	203	0	203	0	1.0	0
uslijedila	yat	sr	uslijedila	usledila	193	0	192	0	1.0	0
vjeruju	yat	sr	vjeruju	veruju	189	0	189	0	1.0	0
vijesti	yat	sr	vijesti	vesti	189	2	188	2	0.9895	0
potpredsjednik	yat	sr	potpredsjednik	potpredsednik	184	0	184	0	1.0	0
cijenu	yat	sr	cijenu	cenu	180	1	179	1	0.9944	0
cjelini	yat	sr	cjelini	celini	171	0	171	0	1.0	0
svijet	yat	sr	svijet	svet	159	3	159	3	0.9815	0
uspjela	yat	sr	uspjela	uspela	150	1	150	1	0.9934	0
ocjenu	yat	sr	ocjenu	ocenu	149	0	149	0	1.0	0
dijela	yat	sr	dijela	dela	148	2	148	2	0.9867	0
rijeke	yat	sr	rijeke	reke	143	1	141	1	0.993	0
nedjelje	yat	sr	nedjelje	nedelje	142	1	142	1	0.993	0
uspjeli	yat	sr	uspjeli	uspeli	140	0	138	0	1.0	0
posjetilaca	yat	sr	posjetilaca	posetilaca	139	0	139	0	1.0	0
uspješno	yat	sr	uspješno	uspešno	138	0	138	0	1.0	0
čovjek	yat	sr	čovjek	čovek	138	1	138	1	0.9928	0
izbjeglica	yat	sr	izbjeglica	izbeglica	138	0	138	0	1.0	0
svjetlo	yat	sr	svjetlo	svetlo	136	0	136	0	1.0	0
usmjeren	yat	sr	usmjeren	usmeren	136	0	136	0	1.0	0
mjestima	yat	sr	mjestima	mestima	134	1	131	1	0.9924	0
pobjede	yat	sr	pobjede	pobede	129	0	129	0	1.0	0
sjevernoj	yat	sr	sjevernoj	severnoj	125	0	124	0	1.0	0
vjerske	yat	sr	vjerske	verske	124	0	124	0	1.0	0
zamjenika	yat	sr	zamjenika	zamenika	123	0	123	0	1.0	0
prijelaza	yat	sr	prijelaza	prelaza	121	0	121	0	1.0	0
prijedlogu	yat	sr	prijedlogu	predlogu	115	0	115	0	1.0	0
sjednici	yat	sr	sjednici	sednici	114	0	114	0	1.0	0
namjerava	yat	sr	namjerava	namerava	114	0	114	0	1.0	0
sjeverne	yat	sr	sjeverne	severne	109	0	109	0	1.0	0
promjenama	yat	sr	promjenama	promenama	108	0	108	0	1.0	0
zamjenu	yat	sr	zamjenu	zamenu	108	0	108	0	1.0	0
bezbjednost	yat	sr	bezbjednost	bezbednost	105	0	105	0	1.0	0
cijelu	yat	sr	cijelu	celu	100	0	100	0	1.0	0
djelimično	yat	sr	djelimično	delimično	100	0	100	0	1.0	0
spriječiti	yat	sr	spriječiti	sprečiti	98	0	98	0	1.0	0
naslijeđe	yat	sr	naslijeđe	nasleđe	96	0	96	0	1.0	0
osjećaj	yat	sr	osjećaj	osećaj	93	1	93	1	0.9894	0
pjesmu	yat	sr	pjesmu	pesmu	93	0	93	0	1.0	0
podjela	yat	sr	podjela	podela	90	0	90	0	1.0	0
predsjedničkih	yat	sr	predsjedničkih	predsedničkih	90	0	90	0	1.0	0
osjećaju	yat	sr	osjećaju	osećaju	90	0	90	0	1.0	0
cijeni	yat	sr	cijeni	ceni	89	0	89	0	1.0	0
izmjena	yat	sr	izmjena	izmena	89	1	89	1	0.9889	0
prijenos	yat	sr	prijenos	prenos	89	1	89	1	0.9889	0
bezbjednosti	yat	sr	bezbjednosti	bezbednosti	89	0	89	0	1.0	0
promjenu	yat	sr	promjenu	promenu	88	0	87	0	1.0	0
sjevera	yat	sr	sjevera	severa	88	0	88	0	1.0	0
obezbjeđuje	yat	sr	obezbjeđuje	obezbeđuje	87	1	87	1	0.9886	0
zahtjevima	yat	sr	zahtjevima	zahtevima	85	0	85	0	1.0	0
smije	yat	sr	smije	sme	85	0	85	0	1.0	0
donijela	yat	sr	donijela	donela	85	0	85	0	1.0	0
uspjeha	yat	sr	uspjeha	uspeha	84	1	84	1	0.9882	0
dijelove	yat	sr	dijelove	delove	83	0	82	0	1.0	0
pjesme	yat	sr	pjesme	pesme	82	0	82	0	1.0	0
podjelu	yat	sr	podjelu	podelu	82	0	82	0	1.0	0
prosječna	yat	sr	prosječna	prosečna	80	0	80	0	1.0	0
povrijeđeno	yat	sr	povrijeđeno	povređeno	79	0	79	0	1.0	0
prijevremene	yat	sr	prijevremene	prevremene	79	0	79	0	1.0	0
unaprijed	yat	sr	unaprijed	unapred	77	0	76	0	1.0	0
slijede	yat	sr	slijede	slede	76	1	76	1	0.987	0
prosjeka	yat	sr	prosjeka	proseka	76	0	76	0	1.0	0
procjene	yat	sr	procjene	procene	75	0	75	0	1.0	0
sjevernog	yat	sr	sjevernog	severnog	75	1	75	1	0.9868	0
prijedloge	yat	sr	prijedloge	predloge	75	0	75	0	1.0	0
razmjena	yat	sr	razmjena	razmena	74	0	74	0	1.0	0
podijeljena	yat	sr	podijeljena	podeljena	73	0	73	0	1.0	0
izvještaji	yat	sr	izvještaji	izveštaji	73	0	73	0	1.0	0
unaprjeđenja	yat	sr	unaprjeđenja	unapređenja	73	1	73	1	0.9865	0
drugdje	yat	sr	drugdje	drugde	71	0	71	0	1.0	0
vijest	yat	sr	vijest	vest	67	1	67	1	0.9853	0
posjetila	yat	sr	posjetila	posetila	67	0	67	0	1.0	0
sjednice	yat	sr	sjednice	sednice	66	0	66	0	1.0	0
namjerno	yat	sr	namjerno	namerno	64	0	64	0	1.0	0
pjevač	yat	sr	pjevač	pevač	63	0	62	0	1.0	0
cijelo	yat	sr	cijelo	celo	62	0	62	0	1.0	0
dijelovi	yat	sr	dijelovi	delovi	59	0	59	0	1.0	0
čovjeka	yat	sr	čovjeka	čoveka	59	0	58	0	1.0	0
upotrijebiti	yat	sr	upotrijebiti	upotrebiti	59	0	59	0	1.0	0
oduvijek	yat	sr	oduvijek	oduvek	59	0	59	0	1.0	0
susjednim	yat	sr	susjednim	susednim	59	0	59	0	1.0	0
negdje	yat	sr	negdje	negde	58	0	58	0	1.0	0
prijelazu	yat	sr	prijelazu	prelazu	56	0	56	0	1.0	0
svjetskim	yat	sr	svjetskim	svetskim	55	0	55	0	1.0	0
prijelazima	yat	sr	prijelazima	prelazima	55	1	55	1	0.9821	0
umjetnost	yat	sr	umjetnost	umetnost	53	0	53	0	1.0	0
mjeru	yat	sr	mjeru	meru	53	0	53	0	1.0	0
uspješan	yat	sr	uspješan	uspešan	52	0	52	0	1.0	0
obavještajne	yat	sr	obavještajne	obaveštajne	52	0	52	0	1.0	0
umjetnik	yat	sr	umjetnik	umetnik	51	0	51	0	1.0	0
smjenu	yat	sr	smjenu	smenu	51	0	51	0	1.0	0
sjećanja	yat	sr	sjećanja	sećanja	50	0	50	0	1.0	0
sjedišta	yat	sr	sjedišta	sedišta	50	0	50	0	1.0	0
podijeljeni	yat	sr	podijeljeni	podeljeni	50	0	50	0	1.0	0
prijevoz	yat	sr	prijevoz	prevoz	49	0	47	0	1.0	0
procjenjuju	yat	sr	procjenjuju	procenjuju	49	0	49	0	1.0	0
potpredsjednika	yat	sr	potpredsjednika	potpredsednika	49	0	49	0	1.0	0
izmijeni	yat	sr	izmijeni	izmeni	49	0	49	0	1.0	0
neuspjeh	yat	sr	neuspjeh	neuspeh	48	0	48	0	1.0	0
neizbježno	yat	sr	neizbježno	neizbežno	47	0	47	0	1.0	0
promijenila	yat	sr	promijenila	promenila	47	0	47	0	1.0	0
zauvijek	yat	sr	zauvijek	zauvek	47	0	47	0	1.0	0
pjesma	yat	sr	pjesma	pesma	47	0	47	0	1.0	0
razumijevanje	yat	sr	razumijevanje	razumevanje	46	0	45	0	1.0	0
posjetioce	yat	sr	posjetioce	posetioce	46	0	46	0	1.0	0
živjeli	yat	sr	živjeli	živeli	46	0	46	0	1.0	0
bijegu	yat	sr	bijegu	begu	46	0	46	0	1.0	0
smjeru	yat	sr	smjeru	smeru	45	0	44	0	1.0	0
zahtijevajući	yat	sr	zahtijevajući	zahtevajući	44	0	44	0	1.0	0
spriječi	yat	sr	spriječi	spreči	43	0	43	0	1.0	0
sprječava	yat	sr	sprječava	sprečava	42	0	42	0	1.0	0
pretrpjela	yat	sr	pretrpjela	pretrpela	42	0	42	0	1.0	0
susjedne	yat	sr	susjedne	susedne	41	0	41	0	1.0	0
osjećam	yat	sr	osjećam	osećam	40	0	40	0	1.0	0
spriječili	yat	sr	spriječili	sprečili	40	0	40	0	1.0	0
namijenjen	yat	sr	namijenjen	namenjen	40	0	40	0	1.0	0
prijedlozi	yat	sr	prijedlozi	predlozi	40	0	40	0	1.0	0
obezbijedi	yat	sr	obezbijedi	obezbedi	39	0	39	0	1.0	0
vjetra	yat	sr	vjetra	vetra	38	0	38	0	1.0	0
umjetničke	yat	sr	umjetničke	umetničke	38	0	38	0	1.0	0
rješavaju	yat	sr	rješavaju	rešavaju	38	0	38	0	1.0	0
sjevernu	yat	sr	sjevernu	severnu	37	0	37	0	1.0	0
prijenosa	yat	sr	prijenosa	prenosa	37	0	37	0	1.0	0
prijevoznika	yat	sr	prijevoznika	prevoznika	37	0	37	0	1.0	0
svjetsku	yat	sr	svjetsku	svetsku	37	0	37	0	1.0	0
doživjeti	yat	sr	doživjeti	doživeti	36	0	36	0	1.0	0
smjene	yat	sr	smjene	smene	36	0	36	0	1.0	0
uslijed	yat	sr	uslijed	usled	36	0	36	0	1.0	0
smjernice	yat	sr	smjernice	smernice	35	0	35	0	1.0	0
mijenjaju	yat	sr	mijenjaju	menjaju	34	0	34	0	1.0	0
miješanje	yat	sr	miješanje	mešanje	34	0	34	0	1.0	0
lijepo	yat	sr	lijepo	lepo	34	0	34	0	1.0	0
bijes	yat	sr	bijes	bes	34	0	34	0	1.0	0
nepovjerenje	yat	sr	nepovjerenje	nepoverenje	34	0	34	0	1.0	0
namjerom	yat	sr	namjerom	namerom	33	0	33	0	1.0	0
primjera	yat	sr	primjera	primera	33	0	33	0	1.0	0
promijenio	yat	sr	promijenio	promenio	31	0	31	0	1.0	0
prijestolnica	yat	sr	prijestolnica	prestolnica	31	0	31	0	1.0	0
zamijenio	yat	sr	zamijenio	zamenio	31	0	31	0	1.0	0
primjenu	yat	sr	primjenu	primenu	31	0	31	0	1.0	0
zahtijevao	yat	sr	zahtijevao	zahtevao	31	0	31	0	1.0	0
djevojke	yat	sr	djevojke	devojke	31	0	31	0	1.0	0
izbjegavaju	yat	sr	izbjegavaju	izbegavaju	30	0	30	0	1.0	0
izbjegavanje	yat	sr	izbjegavanje	izbegavanje	30	0	30	0	1.0	0
izbjegne	yat	sr	izbjegne	izbegne	30	0	30	0	1.0	0
