term_id	category	bosnian_forms	alt_forms	alt_variety	n_flores	n_ntrex	n_setimes	n_bosnian_sources	n_alt_in_bosnian_sources	n_alt_in_mixed_bcs	bosnian_share	n_opensubtitles	n_alt_opensubtitles	opensubtitles_share	accept_en
općina	lex	općina|općine|općini|općinu|općinama|općinski|općinskog|općinskih|općinske	opština|opštine|opštini|opštinu|opštinama|opštinski|opštinskog|opštinskih|opštinske	sr	0	0	724	724	7	36	0.9904	127	350	0.2662	municipalities|municipality|municipal
hiljada	lex	hiljada|hiljadu|hiljade|hiljadama	tisuća|tisuću|tisuće|tisućama	hr	20	6	459	485	0	1	1.0	10021	3095	0.764	thousands|thousand
tačka	lex	tačka|tačke|tački|tačku|tačno|tačan|tačna	točka|točke|točki|točku|točno|točan|točna	hr	15	9	416	440	3	46	0.9932	20755	11253	0.6484	point|exactly|exact|precise|accurate
štampa	lex	štampa|štampe|štampi|štampu|štampanje|štampani	tisak|tiska|tisku	hr	1	13	348	362	0	2	1.0	1865	386	0.8285	press|freedom|printed|printing
avion	lex	avion|aviona|avionu|avioni|avionima|avionska|avionski	zrakoplov|zrakoplova|zrakoplovu|zrakoplovi	hr	10	13	174	197	0	22	1.0	12217	1081	0.9187	plane|planes|aircraft|ports|cypriot|airports|travel|air
voz	lex	voz|voza|vozu|vozovi|vozova	vlak|vlaka|vlaku|vlakovi|vlakova	hr	7	0	76	83	1	12	0.9881	6071	2098	0.7432	train|trains
hemija	lex	hemija|hemije|hemijski|hemijska|hemijskog|hemijske|hemijskih|hemijsko	kemija|kemije|kemijski|kemijska|kemijskog|kemijske	hr	4	0	59	63	0	9	1.0	1473	734	0.6674	chemical|chemistry
predsjednik	yat	predsjednik	predsednik	sr	12	34	2988	3034	1	7	0.9997				president
uvijek	yat	uvijek	uvek	sr	22	30	2022	2074	0	14	1.0				still
dvije	yat	dvije	dve	sr	40	23	1952	2015	0	12	1.0				two
mjeseca	yat	mjeseca	meseca	sr	18	14	1428	1460	0	6	1.0				month
vrijeme	yat	vrijeme	vreme	sr	37	30	1170	1237	12	38	0.9904				time
izvještaju	yat	izvještaju	izveštaju	sr	1	7	1210	1218	0	2	1.0				report
nedjelju	yat	nedjelju	nedelju	sr	2	34	1182	1218	0	2	1.0				sunday
mjesta	yat	mjesta	mesta	sr	26	17	1142	1185	0	7	1.0				
predsjednika	yat	predsjednika	predsednika	sr	4	24	1139	1167	0	4	1.0				president
mjesto	yat	mjesto	mesto	sr	25	11	912	948	1	13	0.9989				place
riječima	yat	riječima	rečima	sr	1	2	907	910	0	3	1.0				according
sjeveru	yat	sjeveru	severu	sr	8	1	879	888	3	1	0.9966				northern|north
mjere	yat	mjere	mere	sr	2	4	781	787	0	1	1.0				measures
mjeseci	yat	mjeseci	meseci	sr	2	13	769	784	0	3	1.0				months
rješenje	yat	rješenje	rešenje	sr	2	0	702	704	1	2	0.9986				solution
vjerovatno	yat	vjerovatno	verovatno	sr	16	21	624	661	0	8	1.0				likely
posjete	yat	posjete	posete	sr	6	3	629	638	0	1	1.0				visit
izvještaj	yat	izvještaj	izveštaj	sr	5	6	598	609	1	6	0.9984				report
vrijednosti	yat	vrijednosti	vrednosti	sr	5	4	600	609	0	3	1.0				worth|values
mjestu	yat	mjestu	mestu	sr	27	10	523	560	0	11	1.0				
mjera	yat	mjera	mera	sr	3	1	547	551	0	3	1.0				measures
svijetu	yat	svijetu	svetu	sr	21	5	519	545	6	19	0.9891				world
cijena	yat	cijena	cena	sr	4	3	534	541	0	2	1.0				price|prices
primjer	yat	primjer	primer	sr	9	6	499	514	1	15	0.9981				example
prijedlog	yat	prijedlog	predlog	sr	1	3	486	490	0	6	1.0				proposal
izvještajima	yat	izvještajima	izveštajima	sr	3	1	463	467	0	3	1.0				reports
rješenja	yat	rješenja	rešenja	sr	2	0	459	461	0	1	1.0				solution
posjetu	yat	posjetu	posetu	sr	3	1	450	454	0	1	1.0				visit
djece	yat	djece	dece	sr	5	9	413	427	0	3	1.0				children
promjene	yat	promjene	promene	sr	6	5	374	385	1	6	0.9974				changes
ovdje	yat	ovdje	ovde	sr	7	10	365	382	0	4	1.0				
rješavanje	yat	rješavanje	rešavanje	sr	0	1	348	349	0	1	1.0				
lijevo	yat	lijevo	levo	sr	0	0	346	346	0	4	1.0				left
svjetskog	yat	svjetskog	svetskog	sr	4	1	336	341	0	27	1.0				world
vjeruje	yat	vjeruje	veruje	sr	5	7	326	338	0	3	1.0				believes
umjesto	yat	umjesto	umesto	sr	5	14	311	330	1	7	0.997				instead
predsjedavajući	yat	predsjedavajući	predsedavajući	sr	0	0	329	329	0	1	1.0				chairman
procjenjuje	yat	procjenjuje	procenjuje	sr	1	5	298	304	0	4	1.0				estimated
naprijed	yat	naprijed	napred	sr	0	6	284	290	3	3	0.9898				forward
izvještaja	yat	izvještaja	izveštaja	sr	3	2	270	275	0	1	1.0				report
posjeta	yat	posjeta	poseta	sr	4	1	269	274	0	1	1.0				visit
promjena	yat	promjena	promena	sr	1	5	266	272	1	6	0.9963				change|changes
djeca	yat	djeca	deca	sr	16	4	250	270	0	1	1.0				children
dijelu	yat	dijelu	delu	sr	4	5	260	269	1	8	0.9963				part
uspjeh	yat	uspjeh	uspeh	sr	5	3	252	260	0	7	1.0				success
pobjedu	yat	pobjedu	pobedu	sr	5	15	214	234	0	3	1.0				victory
pobijedio	yat	pobijedio	pobedio	sr	0	2	232	234	0	2	1.0				won
svjetski	yat	svjetski	svetski	sr	4	2	224	230	1	1	0.9957				world
zahtjeva	yat	zahtjeva	zahteva	sr	4	3	223	230	1	3	0.9957				requirements
obezbijediti	yat	obezbijediti	obezbediti	sr	0	0	221	221	0	2	1.0				provide
vjerujem	yat	vjerujem	verujem	sr	0	6	214	220	0	1	1.0				believe
riječi	yat	riječi	reči	sr	13	3	203	219	0	12	1.0				words
mjesec	yat	mjesec	mesec	sr	7	7	203	217	0	3	1.0				month
djela	yat	djela	dela	sr	5	3	204	212	2	9	0.9907				crimes
svjetska	yat	svjetska	svetska	sr	2	2	208	212	0	1	1.0				world
umjetnosti	yat	umjetnosti	umetnosti	sr	5	1	200	206	0	16	1.0				art|arts
djecu	yat	djecu	decu	sr	7	8	189	204	0	1	1.0				children
mjeri	yat	mjeri	meri	sr	4	0	199	203	0	9	1.0				largely
uslijedila	yat	uslijedila	usledila	sr	2	0	191	193	0	2	1.0				came
vjeruju	yat	vjeruju	veruju	sr	7	8	174	189	0	5	1.0				believe
vijesti	yat	vijesti	vesti	sr	7	7	175	189	2	3	0.9895				news
zahtijeva	yat	zahtijeva	zahteva	sr	9	1	178	188	1	3	0.9947				requires
potpredsjednik	yat	potpredsjednik	potpredsednik	sr	0	3	181	184	0	2	1.0				vice|president
cijenu	yat	cijenu	cenu	sr	4	1	175	180	1	1	0.9945				price
cjelini	yat	cjelini	celini	sr	0	1	170	171	0	1	1.0				whole
vrijednost	yat	vrijednost	vrednost	sr	2	3	160	165	0	2	1.0				value
cijele	yat	cijele	cele	sr	5	2	153	160	0	1	1.0				
svijet	yat	svijet	svet	sr	5	2	152	159	3	4	0.9815				world
cijelom	yat	cijelom	celom	sr	6	0	147	153	0	8	1.0				throughout
uspjela	yat	uspjela	uspela	sr	1	0	149	150	1	1	0.9934				managed
ocjenu	yat	ocjenu	ocenu	sr	0	3	146	149	0	1	1.0				assessment
dijela	yat	dijela	dela	sr	6	1	141	148	2	9	0.9867				part
rijeke	yat	rijeke	reke	sr	11	0	132	143	1	2	0.9931				river
savjetnik	yat	savjetnik	savetnik	sr	2	3	138	143	0	3	1.0				adviser
nedjelje	yat	nedjelje	nedelje	sr	1	2	139	142	1	10	0.993				sunday
uspjeli	yat	uspjeli	uspeli	sr	3	5	132	140	0	3	1.0				managed
posjetilaca	yat	posjetilaca	posetilaca	sr	4	0	135	139	0	2	1.0				visitors
uspješno	yat	uspješno	uspešno	sr	2	0	136	138	0	2	1.0				successfully
čovjek	yat	čovjek	čovek	sr	5	4	129	138	1	11	0.9928				man
izbjeglica	yat	izbjeglica	izbeglica	sr	0	4	134	138	0	1	1.0				refugees
svjetlo	yat	svjetlo	svetlo	sr	2	2	132	136	0	1	1.0				light
usmjeren	yat	usmjeren	usmeren	sr	2	1	133	136	0	1	1.0				aimed
mjestima	yat	mjestima	mestima	sr	14	3	117	134	1	3	0.9926				places
pobjede	yat	pobjede	pobede	sr	1	5	123	129	0	1	1.0				victory
sjevernoj	yat	sjevernoj	severnoj	sr	7	4	114	125	0	3	1.0				northern|north
vjerske	yat	vjerske	verske	sr	0	0	124	124	0	1	1.0				religious
zamjenika	yat	zamjenika	zamenika	sr	0	3	120	123	0	1	1.0				deputy
prijelaza	yat	prijelaza	prelaza	sr	2	0	119	121	0	24	1.0				border|crossings
prijedlogu	yat	prijedlogu	predlogu	sr	0	0	115	115	0	1	1.0				proposal
sjednici	yat	sjednici	sednici	sr	1	1	112	114	0	1	1.0				session
namjerava	yat	namjerava	namerava	sr	1	0	113	114	0	1	1.0				intends
sjeverne	yat	sjeverne	severne	sr	4	10	95	109	0	3	1.0				northern|north
promjenama	yat	promjenama	promenama	sr	2	1	105	108	0	1	1.0				changes
zamjenu	yat	zamjenu	zamenu	sr	1	2	105	108	0	1	1.0				exchange
bezbjednost	yat	bezbjednost	bezbednost	sr	0	0	105	105	0	1	1.0				safety
cijelu	yat	cijelu	celu	sr	1	4	95	100	0	1	1.0				whole
djelimično	yat	djelimično	delimično	sr	0	0	100	100	0	4	1.0				partly|partially
spriječiti	yat	spriječiti	sprečiti	sr	0	1	97	98	0	1	1.0				prevent
naslijeđe	yat	naslijeđe	nasleđe	sr	3	0	93	96	0	1	1.0				heritage
riječ	yat	riječ	reč	sr	10	6	77	93	0	9	1.0				word
osjećaj	yat	osjećaj	osećaj	sr	2	3	88	93	1	4	0.9894				sense|feeling
pjesmu	yat	pjesmu	pesmu	sr	1	1	91	93	0	10	1.0				song
podjela	yat	podjela	podela	sr	1	0	89	90	0	1	1.0				division
predsjedničkih	yat	predsjedničkih	predsedničkih	sr	1	0	89	90	0	1	1.0				presidential
osjećaju	yat	osjećaju	osećaju	sr	0	2	88	90	0	1	1.0				feel
cijeni	yat	cijeni	ceni	sr	1	0	88	89	0	2	1.0				price
izmjena	yat	izmjena	izmena	sr	0	1	88	89	1	3	0.9889				changes
prijenos	yat	prijenos	prenos	sr	0	5	84	89	1	47	0.9889				transfer
bezbjednosti	yat	bezbjednosti	bezbednosti	sr	0	0	89	89	0	1	1.0				safety
promjenu	yat	promjenu	promenu	sr	4	6	78	88	0	3	1.0				change
sjevera	yat	sjevera	severa	sr	1	2	85	88	0	6	1.0				north
obezbjeđuje	yat	obezbjeđuje	obezbeđuje	sr	0	0	87	87	1	2	0.9886				provides
zahtjevima	yat	zahtjevima	zahtevima	sr	2	3	80	85	0	2	1.0				demands|requirements
smije	yat	smije	sme	sr	0	3	82	85	0	3	1.0				must
donijela	yat	donijela	donela	sr	0	1	84	85	0	1	1.0				decision
uspjeha	yat	uspjeha	uspeha	sr	2	2	80	84	1	1	0.9882				success
dijelove	yat	dijelove	delove	sr	3	1	79	83	0	1	1.0				parts
pjesme	yat	pjesme	pesme	sr	2	3	77	82	0	13	1.0				songs|song
podjelu	yat	podjelu	podelu	sr	0	0	82	82	0	1	1.0				division|partition
prosječna	yat	prosječna	prosečna	sr	0	0	80	80	0	2	1.0				average
povrijeđeno	yat	povrijeđeno	povređeno	sr	0	1	78	79	0	1	1.0				injured
prijevremene	yat	prijevremene	prevremene	sr	0	0	79	79	0	1	1.0				elections|early
unaprijed	yat	unaprijed	unapred	sr	10	1	66	77	0	1	1.0				advance
slijede	yat	slijede	slede	sr	1	0	75	76	1	3	0.987				followed
prosjeka	yat	prosjeka	proseka	sr	0	2	74	76	0	1	1.0				average
zamijeniti	yat	zamijeniti	zameniti	sr	3	1	71	75	0	1	1.0				replace
procjene	yat	procjene	procene	sr	2	0	73	75	0	2	1.0				estimates
dijelova	yat	dijelova	delova	sr	5	3	67	75	0	1	1.0				parts
sjevernog	yat	sjevernog	severnog	sr	1	3	71	75	1	1	0.9868				northern
prijedloge	yat	prijedloge	predloge	sr	0	1	74	75	0	1	1.0				proposals
razmjena	yat	razmjena	razmena	sr	0	0	74	74	0	2	1.0				trade|exchange
podijeljena	yat	podijeljena	podeljena	sr	1	0	72	73	0	3	1.0				divided
izvještaji	yat	izvještaji	izveštaji	sr	4	1	68	73	0	2	1.0				reports
unaprjeđenja	yat	unaprjeđenja	unapređenja	sr	0	0	73	73	1	9	0.9865				improvements
mijenja	yat	mijenja	menja	sr	6	1	64	71	0	5	1.0				changing
drugdje	yat	drugdje	drugde	sr	1	0	70	71	0	4	1.0				elsewhere
sjeverni	yat	sjeverni	severni	sr	4	2	64	70	0	1	1.0				northern
vijest	yat	vijest	vest	sr	0	3	64	67	1	2	0.9853				news
posjetila	yat	posjetila	posetila	sr	0	0	67	67	0	1	1.0				visited
sjednice	yat	sjednice	sednice	sr	0	0	66	66	0	1	1.0				session
namjerno	yat	namjerno	namerno	sr	1	2	61	64	0	1	1.0				deliberately
osjeća	yat	osjeća	oseća	sr	2	3	59	64	0	2	1.0				feels
pjevač	yat	pjevač	pevač	sr	4	0	59	63	0	1	1.0				singer
cijelo	yat	cijelo	celo	sr	2	1	59	62	0	2	1.0				whole|entire
dijelovi	yat	dijelovi	delovi	sr	3	3	53	59	0	1	1.0				parts
rijetko	yat	rijetko	retko	sr	9	1	49	59	0	2	1.0				rarely
čovjeka	yat	čovjeka	čoveka	sr	3	7	49	59	0	6	1.0				man
upotrijebiti	yat	upotrijebiti	upotrebiti	sr	0	1	58	59	0	5	1.0				use|used
oduvijek	yat	oduvijek	oduvek	sr	0	1	58	59	0	1	1.0				always
susjednim	yat	susjednim	susednim	sr	0	0	59	59	0	1	1.0				neighbouring|countries
negdje	yat	negdje	negde	sr	3	1	54	58	0	2	1.0				somewhere
svijest	yat	svijest	svest	sr	2	3	52	57	0	1	1.0				awareness
prijelazu	yat	prijelazu	prelazu	sr	0	0	56	56	0	7	1.0				crossing|border
svjetskim	yat	svjetskim	svetskim	sr	2	2	51	55	0	1	1.0				world
prijelazima	yat	prijelazima	prelazima	sr	0	0	55	55	1	8	0.9821				crossings|border
umjetnost	yat	umjetnost	umetnost	sr	1	1	51	53	0	8	1.0				art
mjeru	yat	mjeru	meru	sr	0	0	53	53	0	2	1.0				measure
vještine	yat	vještine	veštine	sr	4	5	43	52	0	1	1.0				skills
uspješan	yat	uspješan	uspešan	sr	0	5	47	52	0	1	1.0				successful
obavještajne	yat	obavještajne	obaveštajne	sr	0	1	51	52	0	1	1.0				intelligence
umjetnik	yat	umjetnik	umetnik	sr	0	2	49	51	0	2	1.0				artist
smjenu	yat	smjenu	smenu	sr	0	0	51	51	0	1	1.0				dismissal
sjećanja	yat	sjećanja	sećanja	sr	1	1	48	50	0	3	1.0				memories
sjedišta	yat	sjedišta	sedišta	sr	1	0	49	50	0	1	1.0				headquarters
podijeljeni	yat	podijeljeni	podeljeni	sr	0	2	48	50	0	2	1.0				divided
prijevoz	yat	prijevoz	prevoz	sr	9	0	40	49	0	25	1.0				transportation
procjenjuju	yat	procjenjuju	procenjuju	sr	0	2	47	49	0	1	1.0				euros|estimated|estimate
potpredsjednika	yat	potpredsjednika	potpredsednika	sr	0	1	48	49	0	1	1.0				vice
izmijeni	yat	izmijeni	izmeni	sr	0	0	49	49	0	1	1.0				change
neuspjeh	yat	neuspjeh	neuspeh	sr	1	1	46	48	0	1	1.0				failure
neizbježno	yat	neizbježno	neizbežno	sr	1	2	44	47	0	1	1.0				inevitably
promijenila	yat	promijenila	promenila	sr	3	1	43	47	0	2	1.0				changed
zauvijek	yat	zauvijek	zauvek	sr	0	2	45	47	0	2	1.0				forever
pjesma	yat	pjesma	pesma	sr	0	1	46	47	0	16	1.0				song
razumijevanje	yat	razumijevanje	razumevanje	sr	6	1	39	46	0	1	1.0				understanding
posjetioce	yat	posjetioce	posetioce	sr	2	0	44	46	0	1	1.0				visitors
živjeli	yat	živjeli	živeli	sr	3	0	43	46	0	4	1.0				lived
bijegu	yat	bijegu	begu	sr	0	0	46	46	0	1	1.0				run
smjeru	yat	smjeru	smeru	sr	2	0	43	45	0	1	1.0				direction|right
zahtijevajući	yat	zahtijevajući	zahtevajući	sr	0	0	44	44	0	1	1.0				demanding
spriječi	yat	spriječi	spreči	sr	0	1	42	43	0	2	1.0				prevent
vijeka	yat	vijeka	veka	sr	5	2	35	42	0	13	1.0				century
podijeljen	yat	podijeljen	podeljen	sr	2	0	40	42	0	1	1.0				divided
sprječava	yat	sprječava	sprečava	sr	0	0	42	42	0	67	1.0				prevents
pretrpjela	yat	pretrpjela	pretrpela	sr	0	0	42	42	0	1	1.0				suffered
susjedne	yat	susjedne	susedne	sr	1	1	39	41	0	1	1.0				neighbouring
osjećam	yat	osjećam	osećam	sr	1	1	38	40	0	1	1.0				feel
spriječili	yat	spriječili	sprečili	sr	0	1	39	40	0	1	1.0				prevent
namijenjen	yat	namijenjen	namenjen	sr	0	0	40	40	0	2	1.0				intended
prijedlozi	yat	prijedlozi	predlozi	sr	0	0	40	40	0	1	1.0				proposals
obezbijedi	yat	obezbijedi	obezbedi	sr	0	0	39	39	0	3	1.0				provide
vjetra	yat	vjetra	vetra	sr	2	1	35	38	0	1	1.0				wind
umjetničke	yat	umjetničke	umetničke	sr	1	0	37	38	0	1	1.0				art
rješavaju	yat	rješavaju	rešavaju	sr	0	0	38	38	0	1	1.0				problems|solve
sjevernu	yat	sjevernu	severnu	sr	0	3	34	37	0	1	1.0				northern
prijenosa	yat	prijenosa	prenosa	sr	0	1	36	37	0	31	1.0				transfer
prijevoznika	yat	prijevoznika	prevoznika	sr	0	0	37	37	0	1	1.0				carrier|air
svjetsku	yat	svjetsku	svetsku	sr	0	0	37	37	0	2	1.0				world
doživjeti	yat	doživjeti	doživeti	sr	1	0	35	36	0	1	1.0				see
primjenjuje	yat	primjenjuje	primenjuje	sr	1	0	35	36	0	3	1.0				applied|applies
smjene	yat	smjene	smene	sr	0	1	35	36	0	1	1.0				
uslijed	yat	uslijed	usled	sr	0	0	36	36	0	2	1.0				amid
vjetar	yat	vjetar	vetar	sr	3	0	32	35	0	2	1.0				wind
smjernice	yat	smjernice	smernice	sr	0	0	35	35	0	1	1.0				guidelines|guidance
mijenjaju	yat	mijenjaju	menjaju	sr	2	0	32	34	0	1	1.0				change|changing
miješanje	yat	miješanje	mešanje	sr	1	0	33	34	0	1	1.0				interference
lijepo	yat	lijepo	lepo	sr	1	1	32	34	0	1	1.0				nice
bijes	yat	bijes	bes	sr	0	2	32	34	0	1	1.0				ire|anger
nepovjerenje	yat	nepovjerenje	nepoverenje	sr	0	2	32	34	0	1	1.0				distrust|mistrust|lack
namjerom	yat	namjerom	namerom	sr	2	0	31	33	0	1	1.0				intention|intent
primjera	yat	primjera	primera	sr	1	0	32	33	0	4	1.0				examples
promijenio	yat	promijenio	promenio	sr	2	4	25	31	0	1	1.0				changed
prijestolnica	yat	prijestolnica	prestolnica	sr	1	0	30	31	0	1	1.0				capital
zamijenio	yat	zamijenio	zamenio	sr	0	2	29	31	0	2	1.0				replaced
primjenu	yat	primjenu	primenu	sr	0	1	30	31	0	1	1.0				application
zahtijevao	yat	zahtijevao	zahtevao	sr	0	1	30	31	0	2	1.0				demanded
djevojke	yat	djevojke	devojke	sr	0	0	31	31	0	1	1.0				girls
smješten	yat	smješten	smešten	sr	11	2	17	30	0	2	1.0				
snijeg	yat	snijeg	sneg	sr	4	0	26	30	0	4	1.0				snow
odjeću	yat	odjeću	odeću	sr	1	1	28	30	0	1	1.0				clothes|clothing
izbjegavaju	yat	izbjegavaju	izbegavaju	sr	0	1	29	30	0	1	1.0				avoid
izbjegavanje	yat	izbjegavanje	izbegavanje	sr	0	0	30	30	0	1	1.0				avoid|avoiding
izbjegne	yat	izbjegne	izbegne	sr	0	0	30	30	0	3	1.0				avoid
